route_distance,historical_delivery_time,rainfall,wind_speed,temperature,flood_risk,month,delay_yes_no,delay_days
120,2,5,12,32,0,1,0,0
350,5,18,20,28,0.5,2,1,2
210,3,0,8,35,0,3,0,0
480,6,22,30,27,1,4,1,3
95,1,3,6,36,0,5,0,0
260,4,15,18,30,0.5,6,1,1
410,6,25,35,26,1,7,1,4
150,2,9,14,33,0,8,0,0
300,5,12,16,31,0.5,9,1,1
520,7,28,38,25,1,10,1,5
80,1,2,7,34,0,11,0,0
230,3,10,12,32,0,12,0,0
340,5,20,26,29,1,1,1,2
190,3,6,10,33,0,2,0,0
470,6,24,32,28,1,3,1,3
110,2,4,9,34,0,4,0,0
280,4,14,17,31,0.5,5,1,1
390,6,23,33,27,1,6,1,3
130,2,7,13,32,0,7,0,0
360,5,19,24,30,0.5,8,1,2
510,7,29,39,24,1,9,1,5
75,1,1,6,35,0,10,0,0
215,3,11,15,31,0.5,11,1,1
455,6,26,34,27,1,12,1,4
160,2,8,12,32,0,1,0,0
305,5,13,19,30,0.5,2,1,1
495,7,27,37,25,1,3,1,4
140,2,5,11,33,0,4,0,0
275,4,16,20,29,0.5,5,1,1
430,6,21,31,28,1,6,1,3
